FECHA,NO,NOX,NO2,CO,HORA,SO2,O3
21/03/2022,1.0,10.0,9.0,0.25,13.0,2.0,60.0
27/06/2022,4.0,17.0,13.0,0.19,13.0,1.0,42.0
03/03/2022,67.0,113.0,47.0,0.88,9.0,19.0,6.0
14/11/2022,26.0,62.0,37.0,0.39,9.0,3.0,12.0
14/10/2022,4.0,25.8,21.4,0.45,14.0,2.0,89.0
19/09/2022,5.0,19.0,14.0,0.1,24.0,1.0,11.0
27/02/2022,3.0,18.0,15.0,0.12,18.0,2.0,50.0
14/09/2022,4.0,19.0,16.0,0.25,15.0,1.0,63.0
23/04/2022,2.0,12.0,9.0,0.434,16.0,2.0,60.0
03/11/2022,14.0,57.0,44.0,0.7,21.0,3.0,4.0
17/08/2022,6.0,42.0,37.0,0.5,19.0,1.0,32.0
21/12/2022,11.0,44.0,34.0,0.28,6.0,2.0,2.0
07/01/2022,39.0,75.0,36.0,0.84,23.0,2.0,16.0
30/05/2022,2.0,19.0,17.0,0.07,24.0,1.0,34.0
13/09/2022,18.0,46.0,28.0,0.32,7.0,3.0,4.0
12/12/2022,5.0,28.0,23.0,0.27,1.0,1.0,13.0
11/04/2022,0.0,17.0,16.0,0.29,15.0,6.0,90.0
10/08/2022,7.0,31.0,24.0,0.19,22.0,1.0,9.0
10/12/2022,11.0,59.0,48.0,0.74,23.0,2.0,7.0
03/06/2022,2.0,15.0,12.0,0.13,15.0,2.0,74.0
23/11/2022,2.0,34.0,32.0,0.49,16.0,5.0,81.0
07/10/2022,35.0,59.0,24.0,0.55,9.0,1.0,4.0
21/05/2022,1.0,15.0,14.0,0.1,15.0,22.0,112.0
13/03/2022,1.0,20.0,20.0,0.44,18.0,1.0,57.0
10/05/2022,5.0,33.0,28.0,0.38,12.0,2.0,76.0
04/12/2022,3.0,14.0,11.0,0.07,4.0,0.0,15.0
14/01/2022,75.0,131.0,56.0,1.08,21.0,3.0,4.0
08/04/2022,22.0,54.0,32.0,0.55,9.0,11.0,12.0
16/04/2022,0.0,8.0,8.0,0.13,15.0,1.0,80.0
10/05/2022,4.0,14.0,10.0,0.04,18.0,0.0,41.0
20/08/2022,3.0,16.0,13.0,0.14,18.0,2.0,31.0
14/03/2022,36.0,84.0,48.0,1.02,10.0,2.0,18.0
29/06/2022,2.0,17.0,15.0,0.25,16.0,1.0,91.0
19/08/2022,11.4,37.6,26.2,0.32999999999999996,3.0,1.0,10.0
20/04/2022,14.0,41.0,27.0,0.288,4.0,1.0,10.0
30/09/2022,11.0,45.0,33.0,0.48,13.0,2.0,48.0
17/09/2022,6.0,26.0,20.0,0.29,20.0,1.0,13.0
31/01/2022,2.0,16.0,14.0,0.19,21.0,1.0,22.0
07/07/2022,4.0,20.0,16.0,0.28,20.0,1.0,21.0
14/08/2022,38.0,67.0,29.0,0.87,1.0,1.0,2.0
15/04/2022,0.0,9.0,9.0,0.19,15.0,4.0,80.0
08/04/2022,6.0,37.0,31.0,0.38,17.0,1.0,25.0
31/08/2022,3.0,17.0,14.0,0.26,23.0,0.0,16.0
12/02/2022,2.0,19.0,17.0,0.17,22.0,2.0,26.0
28/08/2022,1.0,14.0,13.0,0.22,16.0,1.0,93.0
14/10/2022,11.2,33.8,23.0,0.05,2.0,1.0,13.0
10/05/2022,4.0,15.0,11.0,0.11,16.0,1.0,45.0
15/10/2022,2.0,18.6,16.8,0.28,15.0,2.0,115.0
21/07/2022,4.0,20.0,17.0,0.11,18.0,1.0,58.0
10/01/2022,5.0,21.0,16.0,0.21,17.0,1.0,59.5
04/09/2022,6.0,23.0,18.0,0.33,22.0,1.0,6.0
07/03/2022,3.0,31.0,27.0,0.4,14.0,4.0,83.0
